,Station,DBKEY,Daily Date,Data Value,Qualifer,Revision Date
0,S154C_C,91399,2021-07-12,1.28,,22-JUL-2021
1,S154C_C,91399,2021-07-13,0.84,,22-JUL-2021
2,S154C_C,91399,2021-07-14,0.55,,22-JUL-2021
3,S154C_C,91399,2021-07-15,0.26,,22-JUL-2021
4,S154C_C,91399,2021-07-16,0.02,,22-JUL-2021
5,S154C_C,91399,2021-07-17,0.0,,22-JUL-2021
6,S154C_C,91399,2021-07-18,0.0,,22-JUL-2021
7,S154C_C,91399,2021-07-19,0.0,,22-JUL-2021
8,S154C_C,91399,2021-07-20,0.0,,22-JUL-2021
9,S154C_C,91399,2021-07-21,0.0,,30-JUL-2021
10,S154C_C,91399,2021-07-22,0.0,,30-JUL-2021
11,S154C_C,91399,2021-07-23,0.0,,30-JUL-2021
12,S154C_C,91399,2021-07-24,0.0,,30-JUL-2021
13,S154C_C,91399,2021-07-25,0.0,,30-JUL-2021
14,S154C_C,91399,2021-07-26,0.0,,30-JUL-2021
15,S154C_C,91399,2021-07-27,0.0,,30-JUL-2021
16,S154C_C,91399,2021-07-28,0.0,,30-JUL-2021
17,S154C_C,91399,2021-07-29,0.0,,09-AUG-2021
18,S154C_C,91399,2021-07-30,0.0,,09-AUG-2021
19,S154C_C,91399,2021-07-31,0.0,,09-AUG-2021
20,S154C_C,91399,2021-08-01,0.0,,09-AUG-2021
21,S154C_C,91399,2021-08-02,0.0,,09-AUG-2021
22,S154C_C,91399,2021-08-03,0.74,,09-AUG-2021
23,S154C_C,91399,2021-08-04,4.9,,09-AUG-2021
24,S154C_C,91399,2021-08-05,6.45,,09-AUG-2021
25,S154C_C,91399,2021-08-06,5.76,,09-AUG-2021
26,S154C_C,91399,2021-08-07,5.23,,09-AUG-2021
27,S154C_C,91399,2021-08-08,,M,09-AUG-2021
28,S154_C,91401,2021-07-12,67.94,,15-JUL-2021
29,S154_C,91401,2021-07-13,87.53,,15-JUL-2021
30,S154_C,91401,2021-07-14,73.66,,15-JUL-2021
31,S154_C,91401,2021-07-15,72.05,,23-JUL-2021
32,S154_C,91401,2021-07-16,73.91,,23-JUL-2021
33,S154_C,91401,2021-07-17,70.63,,23-JUL-2021
34,S154_C,91401,2021-07-18,51.71,,23-JUL-2021
35,S154_C,91401,2021-07-19,66.61,,23-JUL-2021
36,S154_C,91401,2021-07-20,45.62,,23-JUL-2021
37,S154_C,91401,2021-07-21,39.83,,23-JUL-2021
38,S154_C,91401,2021-07-22,49.91,,23-JUL-2021
39,S154_C,91401,2021-07-23,37.91,,02-AUG-2021
40,S154_C,91401,2021-07-24,30.38,,02-AUG-2021
41,S154_C,91401,2021-07-25,36.64,,02-AUG-2021
42,S154_C,91401,2021-07-26,24.57,,02-AUG-2021
43,S154_C,91401,2021-07-27,41.32,,02-AUG-2021
44,S154_C,91401,2021-07-28,41.35,,02-AUG-2021
45,S154_C,91401,2021-07-29,33.83,,02-AUG-2021
46,S154_C,91401,2021-07-30,43.82,,02-AUG-2021
47,S154_C,91401,2021-07-31,9.17,,02-AUG-2021
48,S154_C,91401,2021-08-01,28.93,,02-AUG-2021
49,S154_C,91401,2021-08-02,21.72,,09-AUG-2021
50,S154_C,91401,2021-08-03,20.43,,09-AUG-2021
51,S154_C,91401,2021-08-04,49.68,,09-AUG-2021
52,S154_C,91401,2021-08-05,65.49,,09-AUG-2021
53,S154_C,91401,2021-08-06,71.54,,09-AUG-2021
54,S154_C,91401,2021-08-07,66.93,,09-AUG-2021
55,S154_C,91401,2021-08-08,56.55,P,09-AUG-2021
56,S154_C,91401,2021-08-09,53.09,P,10-AUG-2021
57,S154_C,91401,2021-08-10,48.92,P,11-AUG-2021
58,S154_C,91401,2021-08-11,55.57,P,12-AUG-2021
59,S154_C,91401,2021-08-12,114.44,P,13-AUG-2021
60,S65E_S,91656,2021-07-12,1096.07,,15-JUL-2021
61,S65E_S,91656,2021-07-13,689.03,,26-JUL-2021
62,S65E_S,91656,2021-07-14,1222.36,,26-JUL-2021
63,S65E_S,91656,2021-07-15,1196.32,,26-JUL-2021
64,S65E_S,91656,2021-07-16,1158.1,,26-JUL-2021
65,S65E_S,91656,2021-07-17,1167.04,,26-JUL-2021
66,S65E_S,91656,2021-07-18,1152.92,,26-JUL-2021
67,S65E_S,91656,2021-07-19,1170.35,,26-JUL-2021
68,S65E_S,91656,2021-07-20,1459.34,,26-JUL-2021
69,S65E_S,91656,2021-07-21,1457.02,,26-JUL-2021
70,S65E_S,91656,2021-07-22,1372.07,,26-JUL-2021
71,S65E_S,91656,2021-07-23,1343.02,,26-JUL-2021
72,S65E_S,91656,2021-07-24,1345.85,,26-JUL-2021
73,S65E_S,91656,2021-07-25,1344.64,,05-AUG-2021
74,S65E_S,91656,2021-07-26,1717.7,,05-AUG-2021
75,S65E_S,91656,2021-07-27,1611.3,,05-AUG-2021
76,S65E_S,91656,2021-07-28,1616.73,,05-AUG-2021
77,S65E_S,91656,2021-07-29,1653.35,,05-AUG-2021
78,S65E_S,91656,2021-07-30,1478.94,,05-AUG-2021
79,S65E_S,91656,2021-07-31,1467.59,,05-AUG-2021
80,S65E_S,91656,2021-08-01,1589.93,,05-AUG-2021
81,S65E_S,91656,2021-08-02,1538.65,,05-AUG-2021
82,S65E_S,91656,2021-08-03,1716.55,,05-AUG-2021
83,S65E_S,91656,2021-08-04,1952.39,P,05-AUG-2021
84,S65E_S,91656,2021-08-05,1882.52,P,06-AUG-2021
85,S65E_S,91656,2021-08-06,1853.52,P,07-AUG-2021
86,S65E_S,91656,2021-08-07,1808.25,P,08-AUG-2021
87,S65E_S,91656,2021-08-08,1757.8,P,09-AUG-2021
88,S65E_S,91656,2021-08-09,1746.7,P,10-AUG-2021
89,S65E_S,91656,2021-08-10,1771.82,P,11-AUG-2021
90,S65E_S,91656,2021-08-11,2246.89,P,12-AUG-2021
91,S65E_S,91656,2021-08-12,2494.21,P,13-AUG-2021
92,S84X_S,91686,2021-07-12,204.82,,19-JUL-2021
93,S84X_S,91686,2021-07-13,202.21,,19-JUL-2021
94,S84X_S,91686,2021-07-14,199.87,,19-JUL-2021
95,S84X_S,91686,2021-07-15,154.78,,19-JUL-2021
96,S84X_S,91686,2021-07-16,152.85,,19-JUL-2021
97,S84X_S,91686,2021-07-17,161.82,,19-JUL-2021
98,S84X_S,91686,2021-07-18,162.16,,27-JUL-2021
99,S84X_S,91686,2021-07-19,200.73,,27-JUL-2021
100,S84X_S,91686,2021-07-20,163.06,,27-JUL-2021
101,S84X_S,91686,2021-07-21,169.0,,27-JUL-2021
102,S84X_S,91686,2021-07-22,121.57,,27-JUL-2021
103,S84X_S,91686,2021-07-23,138.58,,27-JUL-2021
104,S84X_S,91686,2021-07-24,250.73,,27-JUL-2021
105,S84X_S,91686,2021-07-25,293.79,,27-JUL-2021
106,S84X_S,91686,2021-07-26,305.69,,27-JUL-2021
107,S84X_S,91686,2021-07-27,339.73,,05-AUG-2021
108,S84X_S,91686,2021-07-28,313.37,,05-AUG-2021
109,S84X_S,91686,2021-07-29,360.61,,05-AUG-2021
110,S84X_S,91686,2021-07-30,351.0,,05-AUG-2021
111,S84X_S,91686,2021-07-31,361.77,,05-AUG-2021
112,S84X_S,91686,2021-08-01,356.91,,05-AUG-2021
113,S84X_S,91686,2021-08-02,277.0,,05-AUG-2021
114,S84X_S,91686,2021-08-03,299.07,,05-AUG-2021
115,S84X_S,91686,2021-08-04,347.78,,05-AUG-2021
116,S84X_S,91686,2021-08-05,391.19,P,06-AUG-2021
117,S84X_S,91686,2021-08-06,389.32,P,07-AUG-2021
118,S84X_S,91686,2021-08-07,306.61,P,08-AUG-2021
119,S84X_S,91686,2021-08-08,306.65,P,09-AUG-2021
120,S84X_S,91686,2021-08-09,266.43,P,10-AUG-2021
121,S84X_S,91686,2021-08-10,252.51,P,11-AUG-2021
122,S84X_S,91686,2021-08-11,265.01,P,12-AUG-2021
123,S84X_S,91686,2021-08-12,293.32,P,13-AUG-2021
124,S84_S,91687,2021-07-12,501.14,,19-JUL-2021
125,S84_S,91687,2021-07-13,460.96,,19-JUL-2021
126,S84_S,91687,2021-07-14,472.53,,19-JUL-2021
127,S84_S,91687,2021-07-15,415.57,,19-JUL-2021
128,S84_S,91687,2021-07-16,417.6,,19-JUL-2021
129,S84_S,91687,2021-07-17,404.85,,19-JUL-2021
130,S84_S,91687,2021-07-18,451.12,,27-JUL-2021
131,S84_S,91687,2021-07-19,465.14,,27-JUL-2021
132,S84_S,91687,2021-07-20,433.3,,27-JUL-2021
133,S84_S,91687,2021-07-21,443.58,,27-JUL-2021
134,S84_S,91687,2021-07-22,365.23,,27-JUL-2021
135,S84_S,91687,2021-07-23,384.2,,27-JUL-2021
136,S84_S,91687,2021-07-24,587.25,,27-JUL-2021
137,S84_S,91687,2021-07-25,736.42,,27-JUL-2021
138,S84_S,91687,2021-07-26,955.48,,27-JUL-2021
139,S84_S,91687,2021-07-27,953.24,,05-AUG-2021
140,S84_S,91687,2021-07-28,935.74,,05-AUG-2021
141,S84_S,91687,2021-07-29,1039.26,,05-AUG-2021
142,S84_S,91687,2021-07-30,1172.95,,05-AUG-2021
143,S84_S,91687,2021-07-31,1059.61,,05-AUG-2021
144,S84_S,91687,2021-08-01,992.93,,05-AUG-2021
145,S84_S,91687,2021-08-02,750.89,,05-AUG-2021
146,S84_S,91687,2021-08-03,906.6,,05-AUG-2021
147,S84_S,91687,2021-08-04,1255.58,,05-AUG-2021
148,S84_S,91687,2021-08-05,1328.63,P,06-AUG-2021
149,S84_S,91687,2021-08-06,1298.96,P,07-AUG-2021
150,S84_S,91687,2021-08-07,1325.57,P,08-AUG-2021
151,S84_S,91687,2021-08-08,1237.5,P,09-AUG-2021
152,S84_S,91687,2021-08-09,1056.37,P,10-AUG-2021
153,S84_S,91687,2021-08-10,892.33,P,11-AUG-2021
154,S84_S,91687,2021-08-11,971.07,P,12-AUG-2021
155,S84_S,91687,2021-08-12,1133.45,P,13-AUG-2021
156,S65EX1_S,AL760,2021-07-12,67.56,,15-JUL-2021
157,S65EX1_S,AL760,2021-07-13,637.97,,26-JUL-2021
158,S65EX1_S,AL760,2021-07-14,0.0,,26-JUL-2021
159,S65EX1_S,AL760,2021-07-15,0.0,,26-JUL-2021
160,S65EX1_S,AL760,2021-07-16,0.0,,26-JUL-2021
161,S65EX1_S,AL760,2021-07-17,0.0,,26-JUL-2021
162,S65EX1_S,AL760,2021-07-18,0.0,,26-JUL-2021
163,S65EX1_S,AL760,2021-07-19,0.0,,26-JUL-2021
164,S65EX1_S,AL760,2021-07-20,0.0,,26-JUL-2021
165,S65EX1_S,AL760,2021-07-21,0.0,,26-JUL-2021
166,S65EX1_S,AL760,2021-07-22,0.0,,26-JUL-2021
167,S65EX1_S,AL760,2021-07-23,0.0,,26-JUL-2021
168,S65EX1_S,AL760,2021-07-24,0.0,,26-JUL-2021
169,S65EX1_S,AL760,2021-07-25,0.0,,05-AUG-2021
170,S65EX1_S,AL760,2021-07-26,0.0,,05-AUG-2021
171,S65EX1_S,AL760,2021-07-27,0.0,,05-AUG-2021
172,S65EX1_S,AL760,2021-07-28,0.0,,05-AUG-2021
173,S65EX1_S,AL760,2021-07-29,0.0,,05-AUG-2021
174,S65EX1_S,AL760,2021-07-30,0.0,,05-AUG-2021
175,S65EX1_S,AL760,2021-07-31,0.0,,05-AUG-2021
176,S65EX1_S,AL760,2021-08-01,0.0,,05-AUG-2021
177,S65EX1_S,AL760,2021-08-02,0.0,,05-AUG-2021
178,S65EX1_S,AL760,2021-08-03,0.0,,05-AUG-2021
179,S65EX1_S,AL760,2021-08-04,0.0,P,05-AUG-2021
180,S65EX1_S,AL760,2021-08-05,0.0,P,06-AUG-2021
181,S65EX1_S,AL760,2021-08-06,0.0,P,07-AUG-2021
182,S65EX1_S,AL760,2021-08-07,0.0,P,08-AUG-2021
183,S65EX1_S,AL760,2021-08-08,0.0,P,09-AUG-2021
184,S65EX1_S,AL760,2021-08-09,0.0,P,10-AUG-2021
185,S65EX1_S,AL760,2021-08-10,0.0,P,11-AUG-2021
186,S65EX1_S,AL760,2021-08-11,0.0,P,12-AUG-2021
187,S65EX1_S,AL760,2021-08-12,0.0,P,13-AUG-2021
188,FISHCR,WH036,2021-07-12,135.0,P,13-JUL-2021
189,FISHCR,WH036,2021-07-13,115.0,P,14-JUL-2021
190,FISHCR,WH036,2021-07-14,136.0,P,15-JUL-2021
191,FISHCR,WH036,2021-07-15,145.0,P,13-AUG-2021
192,FISHCR,WH036,2021-07-16,182.0,P,17-JUL-2021
193,FISHCR,WH036,2021-07-17,199.0,P,18-JUL-2021
194,FISHCR,WH036,2021-07-18,241.0,P,13-AUG-2021
195,FISHCR,WH036,2021-07-19,272.0,P,13-AUG-2021
196,FISHCR,WH036,2021-07-20,359.0,P,13-AUG-2021
197,FISHCR,WH036,2021-07-21,439.0,P,13-AUG-2021
198,FISHCR,WH036,2021-07-22,438.0,P,13-AUG-2021
199,FISHCR,WH036,2021-07-23,415.0,P,13-AUG-2021
200,FISHCR,WH036,2021-07-24,415.0,P,13-AUG-2021
201,FISHCR,WH036,2021-07-25,420.0,P,13-AUG-2021
202,FISHCR,WH036,2021-07-26,381.0,P,13-AUG-2021
203,FISHCR,WH036,2021-07-27,328.0,P,13-AUG-2021
204,FISHCR,WH036,2021-07-28,302.0,P,13-AUG-2021
205,FISHCR,WH036,2021-07-29,296.0,P,13-AUG-2021
206,FISHCR,WH036,2021-07-30,286.0,P,13-AUG-2021
207,FISHCR,WH036,2021-07-31,276.0,P,13-AUG-2021
208,FISHCR,WH036,2021-08-01,275.0,P,13-AUG-2021
209,FISHCR,WH036,2021-08-02,279.0,P,13-AUG-2021
210,FISHCR,WH036,2021-08-03,296.0,P,13-AUG-2021
211,FISHCR,WH036,2021-08-04,384.0,P,13-AUG-2021
212,FISHCR,WH036,2021-08-05,450.0,P,13-AUG-2021
213,FISHCR,WH036,2021-08-06,508.0,P,13-AUG-2021
214,FISHCR,WH036,2021-08-07,711.0,P,13-AUG-2021
215,FISHCR,WH036,2021-08-08,966.0,P,09-AUG-2021
216,FISHCR,WH036,2021-08-09,,P,11-AUG-2021
217,FISHCR,WH036,2021-08-10,1050.0,P,11-AUG-2021
218,FISHCR,WH036,2021-08-11,854.0,P,13-AUG-2021
219,FISHCR,WH036,2021-08-12,802.0,P,13-AUG-2021
